query_index,query_image_id_metadata,predicted_candidate_index,predicted_candidate_image_id,predicted_candidate_concept,topk_candidate_image_ids,nearest_train_index,nearest_train_image_id,nearest_train_concept,score,output,source,source_kind,selection_note,prompt,leakage_policy
0,aircraft_carrier_06s,174,submarine_09s,submarine,submarine_09s;sailboat_05s;ferry_06s;cruise_ship_03s;aircraft_carrier_06s,5348,flashbulb_09s,flashbulb,0.14338430762290955,recons/experiments/diffusion_prompt/000.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of submarine, sailboat, ferry, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
1,antelope_01b,1,antelope_01b,antelope,antelope_01b;rhinoceros_09s;ostrich_03s;crow_11s;elephant_11n,15375,tulip_06s,tulip,0.13245685398578644,recons/experiments/diffusion_prompt/001.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of antelope, rhinoceros, ostrich, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
2,backscratcher_01b,2,backscratcher_01b,backscratcher,backscratcher_01b;sandpaper_08s;bullet_01s;balance_beam_04s;folder_11s,11524,reindeer_05s,reindeer,0.13315632939338684,recons/experiments/diffusion_prompt/002.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of backscratcher, sandpaper, bullet, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
3,balance_beam_04s,3,balance_beam_04s,balance_beam,balance_beam_04s;bench_01b;baseball_bat_10s;bush_07s;slide_04s,15711,videogame_02s,videogame,0.1531318724155426,recons/experiments/diffusion_prompt/003.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of balance beam, bench, baseball bat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
4,banana_09s,81,garlic_12n,garlic,garlic_12n;egg_12s;banana_09s;spatula_08s;creme_brulee_01b,11339,raisin_10s,raisin,0.13504284620285034,recons/experiments/diffusion_prompt/004.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of garlic, egg, banana, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
5,baseball_bat_10s,5,baseball_bat_10s,baseball_bat,baseball_bat_10s;spatula_08s;chopsticks_11s;dagger_06s;bullet_01s,15676,vent_07s,vent,0.13087968528270721,recons/experiments/diffusion_prompt/005.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of baseball bat, spatula, chopsticks, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
6,basil_05s,157,scallion_04s,scallion,scallion_04s;pear_01b;basil_05s;orchid_05s;gondola_11s,10911,pothole_02s,pothole,0.147633358836174,recons/experiments/diffusion_prompt/006.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of scallion, pear, basil, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
7,basketball_05s,22,breadbox_01b,breadbox,breadbox_01b;basketball_05s;egg_12s;table_07s;highchair_04s,9237,mustache_08s,mustache,0.14052428305149078,recons/experiments/diffusion_prompt/007.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of breadbox, basketball, egg, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
8,bassoon_01b,8,bassoon_01b,bassoon,bassoon_01b;chime_08s;sailboat_05s;gondola_11s;cruise_ship_03s,6243,grill_04s,grill,0.14272375404834747,recons/experiments/diffusion_prompt/008.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bassoon, chime, sailboat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
9,baton4_05s,9,baton4_05s,baton4,baton4_05s;suit_13s;coverall_06s;handbrake_08s;tongs_12s,4325,dogfood_06s,dogfood,0.145509272813797,recons/experiments/diffusion_prompt/009.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of baton4, suit, coverall, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
10,batter_01b,10,batter_01b,batter,batter_01b;ice_cube_11s;ladle_13s;egg_12s;creme_brulee_01b,4501,drain_02s,drain,0.14040696620941162,recons/experiments/diffusion_prompt/010.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of batter, ice cube, ladle, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
11,beaver_04s,11,beaver_04s,beaver,beaver_04s;gopher_09s;possum_05s;gorilla_18s;piglet_02s,1646,boy_07s,boy,0.14180056750774384,recons/experiments/diffusion_prompt/011.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of beaver, gopher, possum, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
12,bench_01b,12,bench_01b,bench,bench_01b;balance_beam_04s;treadmill_11s;slide_04s;bush_07s,4005,cup_06s,cup,0.1463649719953537,recons/experiments/diffusion_prompt/012.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bench, balance beam, treadmill, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
13,bike_22s,114,minivan_17s,minivan,minivan_17s;station_wagon_04s;bike_22s;unicycle_10s;bench_01b,13910,stove2_01b,stove2,0.1331484317779541,recons/experiments/diffusion_prompt/013.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of minivan, station wagon, bike, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
14,birthday_cake_01b,121,okra_14n,okra,okra_14n;scallion_04s;cashew_01b;egg_12s;birthday_cake_01b,15459,turntable_10s,turntable,0.16043643653392792,recons/experiments/diffusion_prompt/014.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of okra, scallion, cashew, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
15,blowtorch_08s,7,basketball_05s,basketball,basketball_05s;antelope_01b;baton4_05s;ostrich_03s;flamingo_05s,5648,frog_09s,frog,0.1506427526473999,recons/experiments/diffusion_prompt/015.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of basketball, antelope, baton4, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
16,boat_01b,153,sailboat_05s,sailboat,sailboat_05s;aircraft_carrier_06s;submarine_09s;ferry_06s;cruise_ship_03s,7232,icepick_03s,icepick,0.14486685395240784,recons/experiments/diffusion_prompt/016.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of sailboat, aircraft carrier, submarine, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
17,bok_choy_03s,173,strawberry_09n,strawberry,strawberry_09n;raspberry_10n;glove_11s;dragonfly_01b;bok_choy_03s,1387,bobsled_08s,bobsled,0.1268158107995987,recons/experiments/diffusion_prompt/017.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of strawberry, raspberry, glove, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
18,bonnet_08s,18,bonnet_08s,bonnet,bonnet_08s;headscarf_03s;muff_12s;lampshade_05s;duffel_bag_03s,11306,railing_07s,railing,0.13697952032089233,recons/experiments/diffusion_prompt/018.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bonnet, headscarf, muff, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
19,bottle_opener_13s,19,bottle_opener_13s,bottle_opener,bottle_opener_13s;dreidel_01b;cd_player_02s;coffeemaker_13s;dagger_06s,12226,scoop_07s,scoop,0.16900581121444702,recons/experiments/diffusion_prompt/019.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bottle opener, dreidel, cd player, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
20,brace_08s,65,dreidel_01b,dreidel,dreidel_01b;grenade_03s;brace_08s;headscarf_03s;lampshade_05s,746,baseball_glove_07s,baseball_glove,0.15679553151130676,recons/experiments/diffusion_prompt/020.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of dreidel, grenade, brace, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
21,bread_19s,112,meatloaf_12s,meatloaf,meatloaf_12s;bread_19s;sausage_04s;bun_01b;cheese_06s,8108,leotard_09s,leotard,0.15450967848300934,recons/experiments/diffusion_prompt/021.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of meatloaf, bread, sausage, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
22,breadbox_01b,22,breadbox_01b,breadbox,breadbox_01b;chest2_02s;treadmill_11s;top_hat_13s;nightstand_05s,9237,mustache_08s,mustache,0.14052428305149078,recons/experiments/diffusion_prompt/022.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of breadbox, chest2, treadmill, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
23,bug_08s,109,lightning_bug_11s,lightning_bug,lightning_bug_11s;bug_08s;grasshopper_06s;dragonfly_01b;crab_17s,8963,mold1_04s,mold1,0.14425748586654663,recons/experiments/diffusion_prompt/023.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lightning bug, bug, grasshopper, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
24,buggy_07s,24,buggy_07s,buggy,buggy_07s;golf_cart_06s;bush_07s;sleeping_bag_01b;cart_09s,11493,red_carpet_04s,red_carpet,0.14878587424755096,recons/experiments/diffusion_prompt/024.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of buggy, golf cart, bush, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
25,bullet_01s,25,bullet_01s,bullet,bullet_01s;wok_12s;cleaver_07s;spatula_08s;spoon_04s,7442,jellyfish_03s,jellyfish,0.17262989282608032,recons/experiments/diffusion_prompt/025.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bullet, wok, cleaver, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
26,bun_01b,112,meatloaf_12s,meatloaf,meatloaf_12s;tomato_sauce_02s;sausage_04s;pie_18s;cashew_01b,8108,leotard_09s,leotard,0.15450967848300934,recons/experiments/diffusion_prompt/026.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of meatloaf, tomato sauce, sausage, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
27,bush_07s,27,bush_07s,bush,bush_07s;seaweed_07s;boat_01b;bench_01b;balance_beam_04s,9186,mug_07s,mug,0.16769593954086304,recons/experiments/diffusion_prompt/027.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of bush, seaweed, boat, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
28,calamari_01b,28,calamari_01b,calamari,calamari_01b;tomato_sauce_02s;popcorn_07s;omelet_10s;crepe_18s,2705,charcoal_06s,charcoal,0.20992594957351685,recons/experiments/diffusion_prompt/028.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of calamari, tomato sauce, popcorn, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
29,candlestick_04s,40,chime_08s,chime,chime_08s;scooter_07s;bassoon_01b;sailboat_05s;stethoscope_11s,8508,mailbox_09s,mailbox,0.14416635036468506,recons/experiments/diffusion_prompt/029.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of chime, scooter, bassoon, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
30,cart_09s,30,cart_09s,cart,cart_09s;crib_14n;balance_beam_04s;sled_10s;bench_01b,11670,robe_01s,robe,0.13933002948760986,recons/experiments/diffusion_prompt/030.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cart, crib, balance beam, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
31,cashew_01b,28,calamari_01b,calamari,calamari_01b;cashew_01b;popcorn_07s;tomato_sauce_02s;mussel_11s,2705,charcoal_06s,charcoal,0.20992594957351685,recons/experiments/diffusion_prompt/031.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of calamari, cashew, popcorn, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
32,cat_01b,32,cat_01b,cat,cat_01b;piglet_02s;possum_05s;gorilla_18s;gopher_09s,7238,icepick_09s,icepick,0.13709864020347595,recons/experiments/diffusion_prompt/032.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cat, piglet, possum, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
33,caterpillar_03s,109,lightning_bug_11s,lightning_bug,lightning_bug_11s;grasshopper_06s;caterpillar_03s;bug_08s;dragonfly_01b,8963,mold1_04s,mold1,0.14425748586654663,recons/experiments/diffusion_prompt/033.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of lightning bug, grasshopper, caterpillar, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
34,cd_player_02s,34,cd_player_02s,cd_player,cd_player_02s;television_12s;modem_04s;dreidel_01b;egg_12s,15613,van_04s,van,0.13598495721817017,recons/experiments/diffusion_prompt/034.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cd player, television, modem, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
35,chain_01b,35,chain_01b,chain,chain_01b;backscratcher_01b;pickax_05s;spatula_08s;bullet_01s,6028,goblet_09s,goblet,0.13665570318698883,recons/experiments/diffusion_prompt/035.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of chain, backscratcher, pickax, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
36,chaps_18s,44,coat_01b,coat,coat_01b;coverall_06s;pajamas_13s;chaps_18s;muff_12s,5769,gargoyle_10s,gargoyle,0.15896166861057281,recons/experiments/diffusion_prompt/036.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of coat, coverall, pajamas, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
37,cheese_06s,37,cheese_06s,cheese,cheese_06s;cordon_bleu_08s;bun_01b;croissant_06s;sausage_04s,9670,paddle_01s,paddle,0.12799502909183502,recons/experiments/diffusion_prompt/037.png,generated_diffusion_prompt,generated_diffusion_prompt,global_train_nearest,"a centered high quality photo of cheese, cordon bleu, bun, simple background, natural color, sharp object",uses only train images or deterministic placeholders as reconstruction sources; never copies test ground truth images
